,id,tweets
105,1052990000000000000.00,"@SioJayy The Pixel 3 is out now. It’s awesome, but unfortunately not officially coming to South Africa. Can buy it… https://t.co/eXDSigjlLL"
106,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
107,1052990000000000000.00,"Zombies are coming to The Respawnables to ruin your day, but you can ruin theirs right back with this lovely new we… https://t.co/WXGEPWiEPp"
108,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
109,1052990000000000000.00,@MKBHD Wanna answer this question for me? Note 9 or Pixel 3 XL? Both are in route but only one can stay in my pocket.
110,1052990000000000000.00,"Google Pixel 3 XL review - ""It’s not a dramatic revolution but the latest Pixel is still one of the best Androids,… https://t.co/c9XXCw5OIR"
111,1052990000000000000.00,"Thai tranny with a big dick gets her anal pounded rough
 https://t.co/tx3UQWHEnJ 
 davina mccall fake blowjobs gall… https://t.co/iwlDHOsTIn"
112,1052990000000000000.00,"RT @PDPVanguard: A choice between @MBuhari &amp; @atiku is like a choice between transistor radio &amp; a smartphone.

It's A choice between Freedo…"
113,1052990000000000000.00,"Google posts Pixel 3 and Pixel 3 XL Android Pie factory images, confirming codenames https://t.co/fgzwHRTn6H https://t.co/BBOOxOrCTV"
114,1052990000000000000.00,"RT @Google: Why is Pixel 3 our most secure phone yet?

✔️ Secure boot process
✔️ Lock screen protection
✔️ Secure transactions

Dive into s…"
115,1052990000000000000.00,@tldtoday Would you pick the Note 9 or Pixel 3 XL? My Xs Max needs a tag team partner.
116,1052990000000000000.00,"RT 9to5Google : Google posts Pixel 3 and Pixel 3 XL Android Pie factory images, confirming codenames… https://t.co/HXdqE8e3TA"
117,1052990000000000000.00,"New phone, who dis? Google pixel 3. https://t.co/CabUbvG9sj"
118,1052990000000000000.00,"@Google Okay Google, send me a Pixel 3 XL ASAP."
119,1052990000000000000.00,"the fact that I can't use the Pixel 3 because I don't have one makes me consider...I dunno. Not buying one, but...s… https://t.co/Bt8Obt9oGL"
120,1052990000000000000.00,Where to buy Google Pixel 3 and Pixel 3 XL - 9to5Google https://t.co/i0IbzBm06N
121,1052990000000000000.00,The camera on this Pixel 3 XL is unreal. Best in the game. Sorry Apple they got portrait mode right. And it works E… https://t.co/Iuv9jRZ5AP
122,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
123,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
124,1052990000000000000.00,"RT @ArtemR: I don't have music apps stopping randomly on my Pixel 2 XL, but the whole photos not saving happens all the damn time.

The Pix…"
125,1052990000000000000.00,"RT @Massawyrm: THIS IS A FUCKING IPHONE GAME CHANGER AND MY LIFE WILL BE FOREVER BETTER WITH THIS ARCANE FUCKING KNOWLEDGE

https://t.co/pn…"
126,1052990000000000000.00,Strike a pose with Pixel 3 https://t.co/l8HfNSwZ3C https://t.co/6RR4tg9udI
127,1052990000000000000.00,RT @EmilyReviewsCom: Buy 1 Google Pixel 3 or Google Pixel 3 XL and get one on Verizon! The Google Pixel 3 has a great camera with 'groupie…
128,1052990000000000000.00,@iamkellex is your Pixel 3 still on the September security update?
129,1052990000000000000.00,RT @PhoneDog: Google Pixel 3 found to include LG OLED display https://t.co/Q9fUWGaup0 by @alw https://t.co/ulufeFV1Q8
130,1052990000000000000.00,Trying to keep busy while waiting for the pixel 3 @GoldsGymSoCal
131,1052990000000000000.00,"RT @PDPVanguard: A choice between @MBuhari &amp; @atiku is like a choice between transistor radio &amp; a smartphone.

It's A choice between Freedo…"
132,1052990000000000000.00,I liked a @YouTube video https://t.co/53Mg5SQPxr The Pixel 3 XL Doesn't Suck - 24 Hours Later!
133,1052990000000000000.00,"RT @KarlConrad: NEW VID IS LIVE 🔥🔥🔥

Google Pixel 3 XL vs iPhone XS Max Camera Comparison! 📸

Really curious to hear your thoughts on this…"
134,1052990000000000000.00,"RT @ThaboThabiso: Top Smartphones 📱 worth your money rn: 

▫️iPhone Xs Max (best of Apple)
▫️Pixel 3 XL (arguably best smartphone camera)…"
135,1052990000000000000.00,"Google posts Pixel 3 and Pixel 3 XL Android Pie factory images, confirming codenames https://t.co/hXRhrZ9RlD https://t.co/168UewblVl"
136,1052990000000000000.00,YouTubers gush about #Iphone XR ahead of launch https://t.co/JstLwWqFgD
137,1052990000000000000.00,Turns out the #Pixel3XL *does* have a Samsung display inside https://t.co/I8WDLEgduB
138,1052990000000000000.00,"@ArtemR @SpigenWorld Only been a few days, but SOLID recommendation. Works perfectly for me so far. Sad to see the… https://t.co/pUyJTkGZG5"
139,1052990000000000000.00,"My Pixel 3 arrived! Still waiting on the case, so I have to just stare at it longingly for the time being."
140,1052990000000000000.00,"RT @OSIRISREx: 1, 2, 3, Bennu! Earlier this week, I captured these images of my favorite asteroid growing ever larger -- from about 1 pixel…"
141,1052990000000000000.00,"Who Needs A Vibrator When You Have The Gardener
 https://t.co/Kg1sLA31la 
 iphone pussy cumshot compilations sexy p… https://t.co/60N3dLoS2G"
142,1052990000000000000.00,"RT @Google: How to strike a pose with Pixel 3: 

📸 Top Shot
🌙 Night Sight
🤳 Group Selfie Cam

Hitting shelves in the US today, here are 10…"
143,1052990000000000000.00,RT @PinkNinjaBlogg: Free $100 @BestBuy gift card with pre-order and qualified activation of the new @Google Pixel 3 or Pixel 3 XL for Veriz…
144,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/z79zXfrRvN
145,1052990000000000000.00,RT @arstechnica: Turns out the #Pixel3XL *does* have a Samsung display inside https://t.co/I8WDLEgduB
146,1052990000000000000.00,The Google Pixel 3 Review: Phone’s Smarts Shine Through Its A.I.-Driven Camera https://t.co/zJDdHef3qu
147,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/fHcXRjLgW5
148,1052990000000000000.00,RT @arstechnica: Turns out the #Pixel3XL *does* have a Samsung display inside https://t.co/I8WDLEgduB
149,1052990000000000000.00,"[Déjà vu] Pixel 3 and 3 XL video recordings have poor audio: Google's Pixels are known for their software quality,… https://t.co/zS7pHaRgHO"
150,1052990000000000000.00,@ArtemR Google was hoping releasing the Pixel 3 would settle Artem's Pixel 2 issues--oh wait.
151,1052990000000000000.00,Google Pixel 3 and Speck bundle international giveaway @androidauth #giveaway https://t.co/CdZb3LY8vp
152,1052990000000000000.00,"RT @redpig: I’m really proud of what our team was able to accomplish:
https://t.co/JC3UEBlOHe
https://t.co/OT31bSuDg5"
153,1052990000000000000.00,How to take a screenshot on your Google Pixel 3 smartphone https://t.co/BRrpBBVCNB Taking a screenshot... https://t.co/BRrpBBVCNB
154,1052990000000000000.00,"RT @OSIRISREx: 1, 2, 3, Bennu! Earlier this week, I captured these images of my favorite asteroid growing ever larger -- from about 1 pixel…"
155,1052990000000000000.00,"Android Authority: How Google's Titan M chip makes the Pixel 3 its most secure phone ever.
https://t.co/ZdfG8hTbba

Via @AndroidAuth"
156,1052990000000000000.00,"RT @AndroidAuth: Google Pixel 3 and Pixel 3 XL review teaser: The Android iPhone.

Read more and watch the full video review: https://t.co/…"
157,1052990000000000000.00,"RT @withopeneyestoc: #AD The new @Google Pixel 3 phone from @bestbuy has amazing features like free unlimited storage, and ""Groupie Cam"" ht…"
158,1052990000000000000.00,Turns out the #Pixel3XL *does* have a Samsung display inside https://t.co/WIoq26Vcjr
159,1052990000000000000.00,Google Pixel 3 Teardown Shows an LG-Made OLED Display: iFixit || https://t.co/gX2Xot7AVs ||  || #Tech News
160,1052990000000000000.00,"RT @PDPVanguard: A choice between @MBuhari &amp; @atiku is like a choice between transistor radio &amp; a smartphone.

It's A choice between Freedo…"
161,1052990000000000000.00,Everything was going good with the Pixel 3 until I saw they're going to force me to use Gesture Navigation. @madebygoogle pls no. 😐
